user_name,user_location,user_followers,user_friends,user_verified,date,text,hashtags,source,language,is_retweet
Joijm,,6,79,False,2021-04-30 10:19:18,1/2En heel even ging het om de mensen waar het omgaat de slachtoffers v.d #toeslagenaffaire deze mensen zitten vandaag in spanning of ze nu eindelijk erkenning krijgen met alle leed wat hen is aangedaan.Ik wens jullie heel veel succes en sterkte en hoop dat jullie moet houden...,['toeslagenaffaire'],Twitter for Android,nl,False
Onderwijs & Educatie,"Groningen, Netherlands",36564,2241,False,2021-04-30 10:12:15,Kamer wil na marathondebat focus weer op toeslagenouders - Nationale Onderwijsgids https://t.co/3MXqZpNtYw #tweedekamerdebat #toeslagenaffaire #kinderopvangtoeslag #belastingdienst,,Twitter Web App,nl,False
Rick,,15,133,False,2021-04-30 10:08:53,"Het is moeilijk te begrijpen hoe partijen enkele weken geleden een motie van wantrouwen tegen Rutte steunden en nu dus blijkbaar bereid zijn met hem te regeren. https://t.co/dtw5pQFrss

#toeslagenaffaire",,Twitter for Android,nl,False
Joost Bak,,20,16,False,2021-04-30 10:08:07,Er is zeer waarschijnlijk iets fundamenteel mis in de relatie tussen politiek en topambtenarij enerzijds en de uitvoerende ambtenarij anderzijds. Er wordt gewoon chronisch te weinig geluisterd naar de werkvloer. #toeslagenaffaire https://t.co/4fn7UZiWC4 via @NUnl,,Twitter Web App,nl,False
Jan Welleweerd,Netherlands,302,1186,False,2021-04-30 10:03:41,@TvanGroningen @BNR Al die debatten zijn dus een hele grote poppenkast gebleken. #formatie Daarbij een hele grote middelvinger naar de slachtoffers van de #toeslagenaffaire,['formatie'],Twitter Web App,nl,False
Hans,"Zwolle, Nederland",79,209,False,2021-04-30 09:58:22,"Dit land is door en door corrupt geworden.

Regeren is belangrijker dan waarheid.

#notulendebat 
#coronamaatregelen 
#toeslagenaffaire 
#Demmink 
#Groningen 
#belastingdienst 
#Vaccinatie 
#vaccinatiepaspoort 

What else....",['notulendebat'],Twitter for Android,nl,False
TwitPollNL,Benelux,10896,11774,False,2021-04-30 09:56:00,"#TjeenkWillink heeft zijn rapport klaar: de meeste partijen sluiten #Rutte niet uit. https://t.co/EXrM4zqJUR

Is dit nog wel geloofwaardig?

Retweets zijn top. Volg @TwitPollNL voor meer #peilingen #peiling #poll #motievanwantrouwen #formatie2021 #toeslagenaffaire #omtzigtgate","['TjeenkWillink', 'Rutte']",Twitter for Android,nl,False
Leukerkunnenwehetnietmaken,,35,86,False,2021-04-30 09:54:16,"Bij deze; ik ben over 1 mei heen getild. Verkeerde brief gehad, vanaf maandag kan ik terug gebeld worden en zal er beter naar mijn situatie gekeken worden #toeslagenaffaire @RenskeLeijten @AvHuffelen @F_azarkan @PieterOmtzigt",,Twitter for Android,nl,False
Caroline van Bergen,Nederland,48,70,False,2021-04-30 09:52:48,"Ouders wachten al een paar jaar
Hoezo nieuwe regering met #vvd #cda #d66

Tjeenk Willink: Rutte kan bij meeste partijen vertrouwen in hem herstellen
#notulendebat #toeslagenaffaire #nieuweverkiezingen https://t.co/WMLcxJhdiS","['vvd', 'cda', 'd66']",Twitter for iPad,nl,False
IK,,105,246,False,2021-04-30 09:52:16,Same here nooit iemand gesproken #toeslagenaffaire https://t.co/ebikHymxbF,['toeslagenaffaire'],Twitter for iPhone,nl,False
Taalblik,Regio Amsterdam,1223,1298,False,2021-04-30 09:50:04,"@MartinKoolhoven ""Niet-Binnenhofs Nederlands"" is Kaags Nederlands.
Van het Kaags Nederlands is één spreker bekend.
#Kaag #D66 #notulendebat #toeslagenaffaire",,Twitter Web App,nl,False
RobdeKetter,Amsterdam,521,518,False,2021-04-30 09:49:08,"Ach, een tekort aan #AstraZeneca van 30% weet RIVM niet wie wat heeft gehad? Wat een puinhoop! Kamerleden in de #toeslagenaffaire wederom voor lul gezet door gluiperd Rutte. We gaan rustig verder 130 km op de afgrond af. Arme slachtoffers",['AstraZeneca'],Twitter for iPad,nl,False
